server_rack_count,ambient_temp_c,compute_load_pct,is_liquid_cooled,cooling_power_kw
50,78.2,44.1,0,347.78
31,83.1,68.8,0,316.65
95,49.2,81.8,0,329.83
84,40.9,39.6,1,219.06
48,40.4,79.6,1,195.26
43,68.3,51.4,1,287.31
27,39.7,82.4,0,202.13
43,69.7,69.3,1,328.71
46,60.5,35.2,1,262.82
59,42.5,57.1,1,181.57
91,67.2,44.3,1,342.45
85,48.6,93.7,0,318.3
76,88.2,44.5,0,375.0
88,57.7,49.4,1,282.73
82,56.6,79.1,1,326.74
60,51.9,90.8,0,338.2
85,54.0,73.5,1,300.94
90,89.2,78.2,0,375.0
53,78.4,41.7,1,336.84
88,68.6,31.2,0,352.75
