server_rack_count,ambient_temp_c,compute_load_pct,is_liquid_cooled,cooling_power_kw
39,43.7,43.3,0,161.85
50,27.1,81.5,0,174.33
48,29.6,100,0,219.84
49,21.5,53.4,0,110.43
16,44.8,34.4,0,133.26
29,36.4,61.4,0,164.42
20,37.3,86.9,0,180.32
48,23.7,35.3,1,103.6
37,36.4,48.4,0,130.38
25,27.7,56,1,88
40,21,61.1,0,84.77
41,31.7,91.7,0,188.86
47,20.3,50.8,1,94.35
41,33,64.2,0,147.3
42,43.1,79.7,0,204.47
38,31.8,96.1,1,181.28
33,30.3,30,0,57.97
24,40.1,83.9,0,225.38
18,43.8,75.1,0,198.9
50,37.7,86.5,0,242.78
40,21.8,72.7,0,138.43
10,23.7,86.5,1,80.5
8,27.5,75,1,78.7
30,43.2,44.6,0,148.45
31,42.9,38.4,0,148.12
